x, T_15,  T_30, T_60, T_90, T_150, T_210
0, 42.7202, 50.0961, 56.0896, 57.7843, 58.3989, 58.4481
4e-06, 42.7172, 50.093, 56.0866, 57.7812, 58.3959, 58.445
8e-06, 42.7141, 50.09, 56.0835, 57.7782, 58.3928, 58.442
1.2e-05, 42.7111, 50.0869, 56.0805, 57.7751, 58.3898, 58.4389
1.6e-05, 42.708, 50.0839, 56.0774, 57.7721, 58.3867, 58.4359
2e-05, 42.705, 50.0808, 56.0744, 57.769, 58.3837, 58.4328
2.4e-05, 42.7019, 50.0778, 56.0713, 57.766, 58.3806, 58.4298
2.8e-05, 42.6989, 50.0747, 56.0683, 57.7629, 58.3776, 58.4267
3.2e-05, 42.6958, 50.0717, 56.0653, 57.7599, 58.3745, 58.4237
3.6e-05, 42.6928, 50.0686, 56.0622, 57.7569, 58.3715, 58.4206
4e-05, 42.6897, 50.0656, 56.0592, 57.7538, 58.3684, 58.4176
4.4e-05, 42.6867, 50.0625, 56.0561, 57.7508, 58.3654, 58.4145
4.8e-05, 42.6836, 50.0595, 56.0531, 57.7477, 58.3624, 58.4115
5.2e-05, 42.6806, 50.0564, 56.05, 57.7447, 58.3593, 58.4085
5.6e-05, 42.6776, 50.0534, 56.047, 57.7416, 58.3563, 58.4054
6e-05, 42.6745, 50.0504, 56.0439, 57.7386, 58.3532, 58.4024
6.4e-05, 42.6715, 50.0473, 56.0409, 57.7355, 58.3502, 58.3993
6.8e-05, 42.6684, 50.0443, 56.0379, 57.7325, 58.3471, 58.3963
7.2e-05, 42.6654, 50.0412, 56.0348, 57.7295, 58.3441, 58.3932
7.6e-05, 42.6623, 50.0382, 56.0318, 57.7264, 58.3411, 58.3902
8e-05, 42.6593, 50.0352, 56.0287, 57.7234, 58.338, 58.3872
8.4e-05, 42.6563, 50.0321, 56.0257, 57.7203, 58.335, 58.3841
8.8e-05, 42.6532, 50.0291, 56.0226, 57.7173, 58.3319, 58.3811
9.2e-05, 42.6502, 50.026, 56.0196, 57.7143, 58.3289, 58.378
9.6e-05, 42.6471, 50.023, 56.0166, 57.7112, 58.3259, 58.375
0.0001, 42.6441, 50.02, 56.0135, 57.7082, 58.3228, 58.372
0.000104, 42.6411, 50.0169, 56.0105, 57.7051, 58.3198, 58.3689
0.000108, 42.638, 50.0139, 56.0075, 57.7021, 58.3167, 58.3659
0.000112, 42.635, 50.0108, 56.0044, 57.6991, 58.3137, 58.3628
0.000116, 42.632, 50.0078, 56.0014, 57.696, 58.3107, 58.3598
0.00012, 42.6289, 50.0048, 55.9983, 57.693, 58.3076, 58.3568
0.000124, 42.6259, 50.0017, 55.9953, 57.69, 58.3046, 58.3537
0.000128, 42.6228, 49.9987, 55.9923, 57.6869, 58.3016, 58.3507
0.000132, 42.6198, 49.9957, 55.9892, 57.6839, 58.2985, 58.3477
0.000136, 42.6168, 49.9926, 55.9862, 57.6808, 58.2955, 58.3446
0.00014, 42.6137, 49.9896, 55.9832, 57.6778, 58.2925, 58.3416
0.000144, 42.6107, 49.9866, 55.9801, 57.6748, 58.2894, 58.3386
0.000148, 42.6077, 49.9835, 55.9771, 57.6717, 58.2864, 58.3355
0.000152, 42.6046, 49.9805, 55.9741, 57.6687, 58.2833, 58.3325
0.000156, 42.6016, 49.9774, 55.971, 57.6657, 58.2803, 58.3295
0.00016, 42.5986, 49.9744, 55.968, 57.6626, 58.2773, 58.3264
0.000164, 42.5955, 49.9714, 55.965, 57.6596, 58.2742, 58.3234
0.000168, 42.5925, 49.9684, 55.9619, 57.6566, 58.2712, 58.3204
0.000172, 42.5895, 49.9653, 55.9589, 57.6535, 58.2682, 58.3173
0.000176, 42.5864, 49.9623, 55.9559, 57.6505, 58.2652, 58.3143
0.00018, 42.5834, 49.9593, 55.9528, 57.6475, 58.2621, 58.3113
0.000184, 42.5804, 49.9562, 55.9498, 57.6445, 58.2591, 58.3082
0.000188, 42.5773, 49.9532, 55.9468, 57.6414, 58.2561, 58.3052
0.000192, 42.5743, 49.9502, 55.9437, 57.6384, 58.253, 58.3022
0.000196, 42.5713, 49.9471, 55.9407, 57.6354, 58.25, 58.2991
0.0002, 42.5683, 49.9441, 55.9377, 57.6323, 58.247, 58.2961
0.000204, 42.5652, 49.9411, 55.9347, 57.6293, 58.2439, 58.2931
0.000208, 42.5622, 49.9381, 55.9316, 57.6263, 58.2409, 58.2901
0.000212, 42.5592, 49.935, 55.9286, 57.6233, 58.2379, 58.287
0.000216, 42.5561, 49.932, 55.9256, 57.6202, 58.2349, 58.284
0.00022, 42.5531, 49.929, 55.9225, 57.6172, 58.2318, 58.281
0.000224, 42.5501, 49.9259, 55.9195, 57.6142, 58.2288, 58.2779
0.000228, 42.5471, 49.9229, 55.9165, 57.6111, 58.2258, 58.2749
0.000232, 42.544, 49.9199, 55.9135, 57.6081, 58.2228, 58.2719
0.000236, 42.541, 49.9169, 55.9104, 57.6051, 58.2197, 58.2689
0.00024, 42.538, 49.9138, 55.9074, 57.6021, 58.2167, 58.2658
0.000244, 42.535, 49.9108, 55.9044, 57.599, 58.2137, 58.2628
0.000248, 42.5319, 49.9078, 55.9014, 57.596, 58.2107, 58.2598
0.000252, 42.5289, 49.9048, 55.8983, 57.593, 58.2076, 58.2568
0.000256, 42.5259, 49.9017, 55.8953, 57.59, 58.2046, 58.2537
0.00026, 42.5229, 49.8987, 55.8923, 57.587, 58.2016, 58.2507
0.000264, 42.5199, 49.8957, 55.8893, 57.5839, 58.1986, 58.2477
0.000268, 42.5168, 49.8927, 55.8863, 57.5809, 58.1955, 58.2447
0.000272, 42.5138, 49.8897, 55.8832, 57.5779, 58.1925, 58.2417
0.000276, 42.5108, 49.8866, 55.8802, 57.5749, 58.1895, 58.2386
0.00028, 42.5078, 49.8836, 55.8772, 57.5718, 58.1865, 58.2356
0.000284, 42.5047, 49.8806, 55.8742, 57.5688, 58.1835, 58.2326
0.000288, 42.5017, 49.8776, 55.8712, 57.5658, 58.1804, 58.2296
0.000292, 42.4987, 49.8746, 55.8681, 57.5628, 58.1774, 58.2266
0.000296, 42.4957, 49.8715, 55.8651, 57.5598, 58.1744, 58.2235
0.0003, 42.4927, 49.8685, 55.8621, 57.5567, 58.1714, 58.2205
0.000304, 42.4897, 49.8655, 55.8591, 57.5537, 58.1684, 58.2175
0.000308, 42.4866, 49.8625, 55.8561, 57.5507, 58.1653, 58.2145
0.000312, 42.4836, 49.8595, 55.853, 57.5477, 58.1623, 58.2115
0.000316, 42.4806, 49.8564, 55.85, 57.5447, 58.1593, 58.2084
0.00032, 42.4776, 49.8534, 55.847, 57.5417, 58.1563, 58.2054
0.000324, 42.4746, 49.8504, 55.844, 57.5386, 58.1533, 58.2024
0.000328, 42.4716, 49.8474, 55.841, 57.5356, 58.1503, 58.1994
0.000332, 42.4685, 49.8444, 55.838, 57.5326, 58.1472, 58.1964
0.000336, 42.4655, 49.8414, 55.8349, 57.5296, 58.1442, 58.1934
0.00034, 42.4625, 49.8383, 55.8319, 57.5266, 58.1412, 58.1904
0.000344, 42.4595, 49.8353, 55.8289, 57.5236, 58.1382, 58.1873
0.000348, 42.4565, 49.8323, 55.8259, 57.5205, 58.1352, 58.1843
0.000352, 42.4535, 49.8293, 55.8229, 57.5175, 58.1322, 58.1813
0.000356, 42.4505, 49.8263, 55.8199, 57.5145, 58.1292, 58.1783
