t, X_0,  X_M/2, X_M
0, 20, 20, 20
0.5, 24.3316, 20.1283, 20.0076
1, 26.4944, 20.4182, 20.038
1.5, 28.1149, 20.8351, 20.1078
2, 29.4644, 21.3343, 20.2286
2.5, 30.6447, 21.8822, 20.406
3, 31.7073, 22.4578, 20.6403
3.5, 32.6825, 23.0487, 20.9279
4, 33.5902, 23.648, 21.2637
4.5, 34.4444, 24.2516, 21.6418
5, 35.2553, 24.8573, 22.0562
5.5, 36.0309, 25.4639, 22.5015
6, 36.7775, 26.0707, 22.9729
6.5, 37.4999, 26.6774, 23.4662
7, 38.2023, 27.2836, 23.9777
7.5, 38.888, 27.8894, 24.5043
8, 39.5596, 28.4946, 25.0435
8.5, 40.2196, 29.0992, 25.593
9, 40.8696, 29.7032, 26.1511
9.5, 41.5113, 30.3066, 26.7162
10, 42.146, 30.9094, 27.287
10.5, 42.7747, 31.5115, 27.8626
11, 43.3983, 32.1129, 28.4419
11.5, 44.0176, 32.7138, 29.0243
12, 44.6331, 33.3139, 29.6091
12.5, 45.2455, 33.9135, 30.1959
13, 45.8551, 34.5124, 30.7841
13.5, 46.4622, 35.1107, 31.3735
14, 47.0673, 35.7083, 31.9638
14.5, 47.6704, 36.3053, 32.5546
15, 48.2719, 36.9017, 33.1458
15.5, 48.872, 37.4975, 33.7373
16, 49.4706, 38.0926, 34.3289
16.5, 50.0681, 38.687, 34.9204
17, 50.6644, 39.2809, 35.5117
17.5, 51.2597, 39.8741, 36.1029
18, 51.854, 40.4667, 36.6937
18.5, 52.4473, 41.0586, 37.2843
19, 53.0399, 41.6499, 37.8744
19.5, 53.6315, 42.2406, 38.4641
20, 54.2224, 42.8307, 39.0533
20.5, 54.8126, 43.4201, 39.6421
21, 55.402, 44.009, 40.2303
21.5, 55.9906, 44.5971, 40.818
22, 56.5786, 45.1847, 41.4052
22.5, 57.1658, 45.7716, 41.9918
23, 57.7524, 46.358, 42.5778
23.5, 58.3384, 46.9437, 43.1633
24, 58.9236, 47.5287, 43.7482
24.5, 59.5082, 48.1132, 44.3325
25, 60.0922, 48.697, 44.9162
25.5, 60.6755, 49.2802, 45.4993
26, 61.2582, 49.8628, 46.0818
26.5, 61.8402, 50.4448, 46.6636
27, 62.4216, 51.0261, 47.2449
27.5, 63.0024, 51.6068, 47.8256
28, 63.5826, 52.1869, 48.4057
28.5, 64.1621, 52.7664, 48.9851
29, 64.741, 53.3453, 49.564
29.5, 65.3193, 53.9236, 50.1422
30, 65.897, 54.5012, 50.7199
30.5, 62.1424, 54.95, 51.2893
31, 60.5561, 55.2365, 51.8352
31.5, 59.5114, 55.3954, 52.3413
32, 58.7372, 55.4715, 52.7957
32.5, 58.1314, 55.4981, 53.1928
33, 57.6428, 55.4965, 53.5325
33.5, 57.241, 55.4789, 53.8183
34, 56.906, 55.4524, 54.0552
34.5, 56.624, 55.421, 54.2493
35, 56.3846, 55.3868, 54.4064
35.5, 56.18, 55.3511, 54.532
36, 56.0037, 55.3147, 54.6309
36.5, 55.851, 55.2777, 54.7074
37, 55.7177, 55.2406, 54.765
37.5, 55.6006, 55.2033, 54.8069
38, 55.4968, 55.166, 54.8357
38.5, 55.4042, 55.1287, 54.8534
39, 55.3209, 55.0914, 54.862
39.5, 55.2453, 55.0541, 54.863
40, 55.1761, 55.0169, 54.8577
40.5, 55.1123, 54.9797, 54.847
41, 55.053, 54.9425, 54.832
41.5, 54.9974, 54.9054, 54.8133
42, 54.9449, 54.8683, 54.7916
42.5, 54.8951, 54.8312, 54.7673
43, 54.8474, 54.7942, 54.741
43.5, 54.8015, 54.7572, 54.7129
44, 54.7572, 54.7203, 54.6833
44.5, 54.7141, 54.6834, 54.6526
45, 54.6721, 54.6465, 54.6209
45.5, 54.6311, 54.6097, 54.5884
46, 54.5907, 54.5729, 54.5551
46.5, 54.551, 54.5362, 54.5214
47, 54.5118, 54.4995, 54.4871
47.5, 54.4731, 54.4628, 54.4525
48, 54.4348, 54.4262, 54.4176
48.5, 54.3967, 54.3896, 54.3825
49, 54.359, 54.3531, 54.3471
49.5, 54.3215, 54.3166, 54.3116
50, 54.2842, 54.2801, 54.276
50.5, 54.2471, 54.2437, 54.2402
51, 54.2101, 54.2073, 54.2044
51.5, 54.1733, 54.1709, 54.1685
52, 54.1366, 54.1346, 54.1326
52.5, 54.1, 54.0983, 54.0967
53, 54.0635, 54.0621, 54.0607
53.5, 54.027, 54.0259, 54.0247
54, 53.9907, 53.9897, 53.9888
54.5, 53.9544, 53.9536, 53.9528
55, 53.9182, 53.9175, 53.9169
55.5, 53.882, 53.8815, 53.8809
56, 53.8459, 53.8455, 53.845
56.5, 53.8099, 53.8095, 53.8091
57, 53.7739, 53.7736, 53.7733
57.5, 53.738, 53.7377, 53.7374
58, 53.7021, 53.7018, 53.7016
58.5, 53.6662, 53.666, 53.6658
59, 53.6304, 53.6302, 53.6301
59.5, 53.5946, 53.5945, 53.5944
60, 53.5589, 53.5588, 53.5587
60.5, 57.8549, 53.6514, 53.5306
61, 59.982, 53.9058, 53.5255
61.5, 61.5669, 54.2871, 53.5596
62, 62.8808, 54.7506, 53.6449
62.5, 64.0256, 55.263, 53.7869
63, 65.0527, 55.8032, 53.9856
63.5, 65.9925, 56.3587, 54.2379
64, 66.8648, 56.9225, 54.5383
64.5, 67.6836, 57.4908, 54.8809
65, 68.4592, 58.0612, 55.26
65.5, 69.1995, 58.6325, 55.6701
66, 69.9108, 59.2041, 56.1063
66.5, 70.598, 59.7755, 56.5643
67, 71.2653, 60.3466, 57.0406
67.5, 71.9158, 60.9172, 57.5321
68, 72.5524, 61.4874, 58.0362
68.5, 73.1772, 62.0569, 58.5507
69, 73.7922, 62.6259, 59.0737
69.5, 74.399, 63.1943, 59.6038
70, 74.9987, 63.7621, 60.1398
70.5, 75.5925, 64.3293, 60.6804
71, 76.1812, 64.8958, 61.2248
71.5, 76.7656, 65.4618, 61.7724
72, 77.3464, 66.0272, 62.3224
72.5, 77.924, 66.592, 62.8744
73, 78.4988, 67.1562, 63.4279
73.5, 79.0713, 67.7198, 63.9826
74, 79.6417, 68.2828, 64.5382
74.5, 80.2103, 68.8452, 65.0944
75, 80.7772, 69.407, 65.6511
75.5, 81.3427, 69.9682, 66.208
76, 81.9068, 70.5288, 66.765
76.5, 82.4698, 71.0888, 67.3221
77, 83.0317, 71.6482, 67.879
77.5, 83.5926, 72.207, 68.4358
78, 84.1525, 72.7652, 68.9923
78.5, 84.7116, 73.3228, 69.5485
79, 85.2698, 73.8799, 70.1043
79.5, 85.8272, 74.4363, 70.6598
80, 86.3839, 74.9922, 71.2148
80.5, 86.9398, 75.5474, 71.7694
81, 87.4951, 76.1021, 72.3235
81.5, 88.0497, 76.6562, 72.8771
82, 88.6035, 77.2097, 73.4302
82.5, 89.1568, 77.7626, 73.9827
83, 89.7094, 78.3149, 74.5348
83.5, 90.2613, 78.8666, 75.0863
84, 90.8127, 79.4178, 75.6372
84.5, 91.3634, 79.9683, 76.1876
85, 91.9135, 80.5183, 76.7375
85.5, 92.463, 81.0677, 77.2868
86, 93.0119, 81.6165, 77.8355
86.5, 93.5602, 82.1647, 78.3836
87, 94.1079, 82.7124, 78.9312
87.5, 94.655, 83.2594, 79.4782
88, 95.2015, 83.8059, 80.0246
88.5, 95.7475, 84.3518, 80.5705
89, 96.2928, 84.8971, 81.1158
89.5, 96.8376, 85.4418, 81.6605
90, 97.3817, 85.986, 82.2046
90.5, 93.5937, 86.4013, 82.7406
91, 91.9739, 86.6543, 83.2531
91.5, 90.8959, 86.7799, 83.7258
92, 90.0883, 86.8226, 84.1468
92.5, 89.4492, 86.816, 84.5106
93, 88.9274, 86.781, 84.8171
93.5, 88.4923, 86.7302, 85.0696
94, 88.1241, 86.6705, 85.2733
94.5, 87.8089, 86.6059, 85.4342
95, 87.5364, 86.5386, 85.5582
95.5, 87.2986, 86.4698, 85.6507
96, 87.0893, 86.4002, 85.7165
96.5, 86.9036, 86.3303, 85.76
97, 86.7373, 86.2601, 85.7846
97.5, 86.5872, 86.1899, 85.7935
98, 86.4505, 86.1197, 85.7893
98.5, 86.325, 86.0494, 85.7742
99, 86.2088, 85.9793, 85.7499
99.5, 86.1003, 85.9092, 85.7181
100, 85.9984, 85.8392, 85.68
100.5, 85.9018, 85.7692, 85.6366
101, 85.8098, 85.6993, 85.5888
101.5, 85.7215, 85.6295, 85.5374
102, 85.6364, 85.5597, 85.4831
102.5, 85.5539, 85.4901, 85.4262
103, 85.4737, 85.4205, 85.3673
103.5, 85.3953, 85.351, 85.3066
104, 85.3184, 85.2815, 85.2446
104.5, 85.2429, 85.2121, 85.1814
105, 85.1685, 85.1428, 85.1172
105.5, 85.095, 85.0736, 85.0523
106, 85.0222, 85.0044, 84.9867
106.5, 84.9502, 84.9354, 84.9206
107, 84.8787, 84.8664, 84.854
107.5, 84.8077, 84.7974, 84.7871
108, 84.7371, 84.7286, 84.72
108.5, 84.6669, 84.6598, 84.6526
109, 84.597, 84.5911, 84.5851
109.5, 84.5274, 84.5224, 84.5175
110, 84.458, 84.4539, 84.4497
110.5, 84.3888, 84.3854, 84.3819
111, 84.3198, 84.3169, 84.3141
111.5, 84.251, 84.2486, 84.2462
112, 84.1823, 84.1803, 84.1783
112.5, 84.1138, 84.1121, 84.1105
113, 84.0454, 84.044, 84.0426
113.5, 83.9771, 83.9759, 83.9748
114, 83.9089, 83.9079, 83.907
114.5, 83.8408, 83.84, 83.8392
115, 83.7728, 83.7722, 83.7715
115.5, 83.705, 83.7044, 83.7039
116, 83.6372, 83.6367, 83.6362
116.5, 83.5695, 83.5691, 83.5687
117, 83.5018, 83.5015, 83.5012
117.5, 83.4343, 83.434, 83.4338
118, 83.3669, 83.3666, 83.3664
118.5, 83.2995, 83.2993, 83.2991
119, 83.2322, 83.232, 83.2319
119.5, 83.165, 83.1648, 83.1647
120, 83.0978, 83.0977, 83.0976
120.5, 87.3624, 83.1589, 83.0381
121, 89.4581, 83.3819, 83.0016
121.5, 91.0118, 83.7319, 83.0045
122, 92.2943, 84.1642, 83.0584
122.5, 93.4079, 84.6453, 83.1691
123, 94.4038, 85.1542, 83.3367
123.5, 95.3123, 85.6785, 83.5577
124, 96.1535, 86.2112, 83.827
124.5, 96.9412, 86.7483, 84.1385
125, 97.6857, 87.2876, 84.4865
125.5, 98.3949, 87.8279, 84.8655
126, 99.0752, 88.3684, 85.2707
126.5, 99.7314, 88.9089, 85.6977
127, 100.368, 89.449, 86.1431
127.5, 100.987, 89.9887, 86.6036
128, 101.593, 90.528, 87.0768
128.5, 102.187, 91.0667, 87.5604
129, 102.771, 91.6048, 88.0527
129.5, 103.347, 92.1424, 88.552
130, 103.916, 92.6794, 89.0571
130.5, 104.479, 93.2159, 89.567
131, 105.037, 93.7518, 90.0808
131.5, 105.591, 94.2871, 90.5976
132, 106.141, 94.8219, 91.117
132.5, 106.688, 95.356, 91.6384
133, 107.232, 95.8897, 92.1614
133.5, 107.774, 96.4227, 92.6856
134, 108.314, 96.9552, 93.2106
134.5, 108.852, 97.4871, 93.7364
135, 109.389, 98.0185, 94.2626
135.5, 109.924, 98.5493, 94.7891
136, 110.458, 99.0795, 95.3158
136.5, 110.99, 99.6092, 95.8425
137, 111.522, 100.138, 96.3691
137.5, 112.052, 100.667, 96.8956
138, 112.582, 101.195, 97.4219
138.5, 113.111, 101.722, 97.9478
139, 113.639, 102.249, 98.4735
139.5, 114.166, 102.775, 98.9988
140, 114.693, 103.301, 99.5237
140.5, 115.219, 103.826, 100.048
141, 115.744, 104.351, 100.572
141.5, 116.268, 104.875, 101.096
142, 116.792, 105.398, 101.619
142.5, 117.316, 105.921, 102.142
143, 117.838, 106.444, 102.664
143.5, 118.36, 106.966, 103.185
144, 118.882, 107.487, 103.706
144.5, 119.403, 108.008, 104.227
145, 119.923, 108.528, 104.747
145.5, 120.443, 109.047, 105.267
146, 120.962, 109.567, 105.785
146.5, 121.481, 110.085, 106.304
147, 121.999, 110.603, 106.822
147.5, 122.516, 111.12, 107.339
148, 123.033, 111.637, 107.856
148.5, 123.549, 112.154, 108.372
149, 124.065, 112.669, 108.888
149.5, 124.58, 113.185, 109.403
150, 125.095, 113.699, 109.918
150.5, 121.278, 114.085, 110.424
151, 119.628, 114.309, 110.908
151.5, 118.521, 114.405, 111.351
152, 117.684, 114.418, 111.742
152.5, 117.016, 114.382, 112.077
153, 116.464, 114.318, 112.354
153.5, 116, 114.238, 112.577
154, 115.603, 114.149, 112.752
154.5, 115.258, 114.055, 112.884
155, 114.957, 113.959, 112.978
155.5, 114.69, 113.861, 113.042
156, 114.451, 113.762, 113.078
156.5, 114.236, 113.663, 113.093
