x, T, Texact
0, 58.4487, 58.4523
4e-06, 58.4457, 58.4493
8e-06, 58.4426, 58.4462
1.2e-05, 58.4396, 58.4432
1.6e-05, 58.4365, 58.4401
2e-05, 58.4335, 58.4371
2.4e-05, 58.4305, 58.434
2.8e-05, 58.4274, 58.431
3.2e-05, 58.4244, 58.4279
3.6e-05, 58.4213, 58.4249
4e-05, 58.4183, 58.4219
4.4e-05, 58.4152, 58.4188
4.8e-05, 58.4122, 58.4158
5.2e-05, 58.4091, 58.4127
5.6e-05, 58.4061, 58.4097
6e-05, 58.4031, 58.4066
6.4e-05, 58.4, 58.4036
6.8e-05, 58.397, 58.4005
7.2e-05, 58.3939, 58.3975
7.6e-05, 58.3909, 58.3945
8e-05, 58.3878, 58.3914
8.4e-05, 58.3848, 58.3884
8.8e-05, 58.3818, 58.3853
9.2e-05, 58.3787, 58.3823
9.6e-05, 58.3757, 58.3793
0.0001, 58.3726, 58.3762
0.000104, 58.3696, 58.3732
0.000108, 58.3666, 58.3701
0.000112, 58.3635, 58.3671
0.000116, 58.3605, 58.3641
0.00012, 58.3575, 58.361
0.000124, 58.3544, 58.358
0.000128, 58.3514, 58.355
0.000132, 58.3483, 58.3519
0.000136, 58.3453, 58.3489
0.00014, 58.3423, 58.3459
0.000144, 58.3392, 58.3428
0.000148, 58.3362, 58.3398
0.000152, 58.3332, 58.3368
0.000156, 58.3301, 58.3337
0.00016, 58.3271, 58.3307
0.000164, 58.3241, 58.3277
0.000168, 58.321, 58.3246
0.000172, 58.318, 58.3216
0.000176, 58.315, 58.3186
0.00018, 58.312, 58.3155
0.000184, 58.3089, 58.3125
0.000188, 58.3059, 58.3095
0.000192, 58.3029, 58.3064
0.000196, 58.2998, 58.3034
0.0002, 58.2968, 58.3004
0.000204, 58.2938, 58.2974
0.000208, 58.2907, 58.2943
0.000212, 58.2877, 58.2913
0.000216, 58.2847, 58.2883
0.00022, 58.2817, 58.2852
0.000224, 58.2786, 58.2822
0.000228, 58.2756, 58.2792
0.000232, 58.2726, 58.2762
0.000236, 58.2696, 58.2731
0.00024, 58.2665, 58.2701
0.000244, 58.2635, 58.2671
0.000248, 58.2605, 58.2641
0.000252, 58.2575, 58.261
0.000256, 58.2544, 58.258
0.00026, 58.2514, 58.255
0.000264, 58.2484, 58.252
0.000268, 58.2454, 58.2489
0.000272, 58.2424, 58.2459
0.000276, 58.2393, 58.2429
0.00028, 58.2363, 58.2399
0.000284, 58.2333, 58.2369
0.000288, 58.2303, 58.2338
0.000292, 58.2273, 58.2308
0.000296, 58.2242, 58.2278
0.0003, 58.2212, 58.2248
0.000304, 58.2182, 58.2218
0.000308, 58.2152, 58.2188
0.000312, 58.2122, 58.2157
0.000316, 58.2091, 58.2127
0.00032, 58.2061, 58.2097
0.000324, 58.2031, 58.2067
0.000328, 58.2001, 58.2037
0.000332, 58.1971, 58.2007
0.000336, 58.1941, 58.1976
0.00034, 58.1911, 58.1946
0.000344, 58.188, 58.1916
0.000348, 58.185, 58.1886
0.000352, 58.182, 58.1856
0.000356, 58.179, 58.1826
0.00036, 58.176, 58.1796
0.000364, 58.173, 58.1765
0.000368, 58.17, 58.1735
